!!SBtab TableID="ParameterData" TableType="Quantity" Version="0.1" Level="1.0"  TableName="Jiang Data"									
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Reference
inhibitory constant	v32	OG_cyt	17	nan	mM	Rattus norvegicus	R00355	C00026	Brenda
inhibitory constant	v32	OG_cyt	2.5	nan	mM	Rattus norvegicus	R00355	C00026	Brenda
inhibitory constant	v32	Asp_cyt	21	nan	mM	Rattus norvegicus	R00355	C00049	Brenda
inhibitory constant	v32	OG_cyt	1	nan	mM	Rattus norvegicus	R00355	C00026	Brenda
inhibitory constant	v32	Asp_cyt	263	nan	mM	Rattus norvegicus	R00355	C00049	Brenda
equilibrium constant	v32	nan	0.1	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.1	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.1	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.1	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.1	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.1	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.2	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.2	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.2	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.3	nan	dimensionless	nan	R00355	nan	NIST
equilibrium constant	v32	nan	0.3	nan	dimensionless	nan	R00355	nan	NIST
concentration of enzyme	v5	nan	2020	nan	molecules/cell	Saccharomyces cerevisiae	R01518	nan	yeastGFP
concentration of enzyme	v5	nan	172000	nan	molecules/cell	Saccharomyces cerevisiae	R01518	nan	yeastGFP
concentration of enzyme	v5	nan	3730	nan	molecules/cell	Saccharomyces cerevisiae	R01518	nan	yeastGFP
equilibrium constant	v5	nan	8.7	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	9.8	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.4	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.4	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.5	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.5	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.6	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.7	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.7	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.8	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.8	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	10.9	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.1	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.1	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.1	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.4	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.4	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.5	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.6	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.6	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.7	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	11.7	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	4.9	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	5	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	5.1	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	5.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	5.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	5.4	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	5.8	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	6	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	6.1	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	6.2	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	6.3	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	6.6	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	6.8	nan	dimensionless	nan	R01518	nan	NIST
equilibrium constant	v5	nan	9.8	nan	dimensionless	nan	R01518	nan	NIST
concentration of enzyme	v6	nan	291000	24100	molecules/cell	Saccharomyces cerevisiae	R00200	nan	yeastGFP
concentration of enzyme	v6	nan	2130	nan	molecules/cell	Saccharomyces cerevisiae	R00200	nan	yeastGFP
inhibitory constant	v6	Cit_cyt	0.8	nan	mM	Plasmodium falciparum	R00200	C00158	Brenda
inhibitory constant	v6	Glu_cyt	3.7	nan	mM	nan	R00200	C00025	Brenda
inhibitory constant	v6	Glu_cyt	4.4	nan	mM	nan	R00200	C00025	Brenda
inhibitory constant	v6	Glu_cyt	13.6	nan	mM	nan	R00200	C00025	Brenda
inhibitory constant	v6	Glu_cyt	19.2	nan	mM	nan	R00200	C00025	Brenda
equilibrium constant	v6	nan	0	nan	dimensionless	nan	R00200	nan	NIST
concentration of enzyme	v24	nan	7130	nan	molecules/cell	Saccharomyces cerevisiae	R00331	nan	yeastGFP
inhibitory constant	v24	GDP	1.9	nan	mM	Mycobacterium tuberculosis	R00331	C00035	Brenda
concentration of enzyme	hidden_1	nan	123000	nan	molecules/cell	Saccharomyces cerevisiae	R00127	nan	yeastGFP
concentration of enzyme	hidden_1	nan	704	nan	molecules/cell	Saccharomyces cerevisiae	R00127	nan	yeastGFP
inhibitory constant	hidden_1	AMP	3.3	nan	mM	Oryctolagus cuniculus	R00127	C00020	Brenda
inhibitory constant	hidden_1	AMP	0.6	nan	mM	Mycobacterium tuberculosis	R00127	C00020	Brenda
concentration of enzyme	v31	nan	3300	nan	molecules/cell	Saccharomyces cerevisiae	R00342	nan	yeastGFP
concentration of enzyme	v31	nan	28100	nan	molecules/cell	Saccharomyces cerevisiae	R00342	nan	yeastGFP
concentration of enzyme	v31	nan	5260	nan	molecules/cell	Saccharomyces cerevisiae	R00342	nan	yeastGFP
product catalytic rate constant	v31	nan	2.6	nan	1/s	Sulfolobus acidocaldarius	R00342	C00036	Brenda
product catalytic rate constant	v31	nan	1.8	nan	1/s	Thermoplasma acidophilum	R00342	C00036	Brenda
inhibitory constant	v31	AMP	1	nan	mM	Sus scrofa	R00342	C00020	Brenda
inhibitory constant	v31	Mal_cyt	3.7	nan	mM	Beggiatoa leptomitiformis	R00342	C00149	Brenda
inhibitory constant	v31	OXA_cyt	0.6	nan	mM	Aptenia cordifolia	R00342	C00036	Brenda
inhibitory constant	v31	OXA_cyt	0.2	nan	mM	Aptenia cordifolia	R00342	C00036	Brenda
inhibitory constant	v31	OXA_cyt	0.2	nan	mM	Mesembryanthemum crystallinum	R00342	C00036	Brenda
inhibitory constant	v31	OXA_cyt	0.8	nan	mM	Mesembryanthemum crystallinum	R00342	C00036	Brenda
substrate catalytic rate constant	nan	Mal_cyt	76.7	nan	1/s	Sus scrofa	R00342	C00149	Brenda
equilibrium constant	v31	nan	0	nan	dimensionless	nan	R00342	nan	NIST
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	nan	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	4	nan	mM	nan	R00342	C00149	Brenda
Michaelis constant	v31	NAD	1.1	nan	mM	nan	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Aquaspirillum arcticum	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Aquaspirillum arcticum	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Trichomonas gallinae	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0.2	nan	mM	Trichomonas gallinae	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Trichomonas gallinae	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sus scrofa	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sus scrofa	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sus scrofa	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sus scrofa	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sus scrofa	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sus scrofa	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sus scrofa	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	0.7	nan	mM	Beggiatoa leptomitiformis	R00342	C00149	Brenda
Michaelis constant	v31	NAD	0.5	nan	mM	Beggiatoa leptomitiformis	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Beggiatoa leptomitiformis	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Salinibacter ruber	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Plasmodium falciparum	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.2	nan	mM	Plasmodium falciparum	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Hoplias malabaricus	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Aptenia cordifolia	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Aptenia cordifolia	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	2.3	nan	mM	Aptenia cordifolia	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Aptenia cordifolia	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Aptenia cordifolia	R00342	C00003	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Aptenia cordifolia	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	2.1	nan	mM	Aptenia cordifolia	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Corynebacterium glutamicum	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.6	nan	mM	Corynebacterium glutamicum	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Corynebacterium glutamicum	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Corynebacterium glutamicum	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.2	nan	mM	Corynebacterium glutamicum	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.4	nan	mM	Corynebacterium glutamicum	R00342	C00003	Brenda
Michaelis constant	v31	NADPH	0.3	nan	mM	Corynebacterium glutamicum	R00342	C00005	Brenda
Michaelis constant	v31	Mal_cyt	0.8	nan	mM	Corynebacterium glutamicum	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Talaromyces emersonii	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Talaromyces emersonii	R00342	C00003	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Talaromyces emersonii	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	1.3	nan	mM	Talaromyces emersonii	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Sphyraena idiastes	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Saccharomyces cerevisiae	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0.3	nan	mM	Saccharomyces cerevisiae	R00342	C00149	Brenda
Michaelis constant	v31	Mal_cyt	0	nan	mM	Saccharomyces cerevisiae	R00342	C00149	Brenda
Michaelis constant	v31	Mal_cyt	0.1	nan	mM	Saccharomyces cerevisiae	R00342	C00149	Brenda
Michaelis constant	v31	Mal_cyt	0	nan	mM	Saccharomyces cerevisiae	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Saccharomyces cerevisiae	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.3	nan	mM	Saccharomyces cerevisiae	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Saccharomyces cerevisiae	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Saccharomyces cerevisiae	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Moritella sp.	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0.4	nan	mM	Triticum aestivum	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.7	nan	mM	Triticum aestivum	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	3.2	nan	mM	Triticum aestivum	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Euglena gracilis	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.7	nan	mM	Euglena gracilis	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0.7	nan	mM	Euglena gracilis	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Euglena gracilis	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Aspergillus niger	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Aspergillus niger	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Aspergillus niger	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0.2	nan	mM	Aspergillus niger	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Dictyostelium discoideum	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	0.2	nan	mM	Dictyostelium discoideum	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Dictyostelium discoideum	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	1.3	nan	mM	Dictyostelium discoideum	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0.3	nan	mM	Dictyostelium discoideum	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	5	nan	mM	Dictyostelium discoideum	R00342	C00149	Brenda
Michaelis constant	v31	NADPH	0.2	nan	mM	Sulfolobus acidocaldarius	R00342	C00005	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Sulfolobus acidocaldarius	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Sulfolobus acidocaldarius	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Thermoplasma acidophilum	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Thermoplasma acidophilum	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Trichomonas vaginalis	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0	nan	mM	Trichomonas vaginalis	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	1.4	nan	mM	Trichomonas vaginalis	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Trichomonas vaginalis	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Trichomonas vaginalis	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	1.2	nan	mM	Trichomonas vaginalis	R00342	C00149	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Trichomonas vaginalis	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Trichomonas vaginalis	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	1	nan	mM	Trichomonas vaginalis	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Trichomonas vaginalis	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	0.1	nan	mM	Thermus thermophilus	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Thermus thermophilus	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Thermus thermophilus	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0	nan	mM	Thermus thermophilus	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0	nan	mM	Thermus thermophilus	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Thermus thermophilus	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Rhodobacter capsulatus	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0	nan	mM	Rhodobacter capsulatus	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Rhodobacter capsulatus	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	2.1	nan	mM	Rhodobacter capsulatus	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Haloarcula marismortui	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Mycobacterium phlei	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	0.8	nan	mM	Mycobacterium phlei	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Mycobacterium phlei	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.5	nan	mM	Mycobacterium phlei	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Physarum polycephalum	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.2	nan	mM	Physarum polycephalum	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.2	nan	mM	Physarum polycephalum	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Physarum polycephalum	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.8	nan	mM	Physarum polycephalum	R00342	C00003	Brenda
