!!SBtab TableType="Quantity" Version="0.1" Level="1.0" TableName="Teusink Data"
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!pH	!Temperature	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Reference
equilibrium constant	vGAPDH	nan	0.92	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	1.015	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	1.3	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	1.4	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.042	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	17	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
concentration of enzyme	vPFK	nan	89800	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00756	nan	yeastGFP
concentration of enzyme	vPFK	nan	90200	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00756	nan	yeastGFP
inhibitory constant	vPFK	ATP	2.5	nan	mM	7.1	nan	Oryctolagus cuniculus	R00756	C00002	Brenda
inhibitory constant	vPFK	PEP	0.15	nan	mM	7.8	303.15	Aspergillus niger	R00756	C00074	Brenda
inhibitory constant	vPFK	PEP	0.83	nan	mM	7.2	298.15	Mus musculus	R00756	C00074	Brenda
inhibitory constant	vPFK	ATP	0.8	nan	mM	6.8	303.15	Ascaris suum	R00756	C00002	Brenda
inhibitory constant	vPFK	ATP	0.5	nan	mM	8	nan	Fasciola hepatica	R00756	C00002	Brenda
inhibitory constant	vPFK	ATP	1.4	nan	mM	8	nan	Fasciola hepatica	R00756	C00002	Brenda
inhibitory constant	vPFK	ATP	0.25	nan	mM	7	nan	Sus scrofa	R00756	C00002	Brenda
inhibitory constant	vPFK	PEP	0.8	nan	mM	7.9	nan	nan	R00756	C00074	Brenda
inhibitory constant	vPFK	ADP	1.75	nan	mM	7.9	nan	nan	R00756	C00008	Brenda
equilibrium constant	vPFK	nan	1000	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	150	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	2290	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	2700	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	2800	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	2900	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	4800	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
equilibrium constant	vPFK	nan	800	nan	dimensionless	nan	nan	nan	R00756	nan	NIST
concentration of enzyme	vPGI	nan	91600	34200	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00771	nan	yeastGFP
inhibitory constant	vPGI	F16P	12	nan	mM	7.5	323.15	Thermococcus litoralis	R00771	C00354	Brenda
equilibrium constant	vPGI	nan	0.19	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.2	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.214	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.22	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.24	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.25	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.26	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.264	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.27	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.28	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.287	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.29	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.293	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.298	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.299	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.3	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.302	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.308	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.31	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.32	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.327	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.329	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.33	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.34	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.357	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.36	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.37	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.38	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.41	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.45	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.54	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
equilibrium constant	vPGI	nan	0.67	nan	dimensionless	nan	nan	nan	R00771	nan	NIST
concentration of enzyme	vPGM	nan	2020	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01518	nan	yeastGFP
concentration of enzyme	vPGM	nan	172000	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01518	nan	yeastGFP
concentration of enzyme	vPGM	nan	3730	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01518	nan	yeastGFP
equilibrium constant	vPGM	nan	8.65	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	9.81	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.02	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.3	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.4	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.43	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.45	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.5	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.6	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.7	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.72	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.8	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.84	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	10.9	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.1	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.11	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.14	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.28	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.3	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.31	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.36	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.4	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.47	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.59	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.64	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.65	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	11.74	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	4.9	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	5	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	5.1	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	5.25	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	5.3	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	5.35	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	5.8	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	6	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	6.1	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	6.2	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	6.3	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	6.6	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	6.8	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
equilibrium constant	vPGM	nan	9.8	nan	dimensionless	nan	nan	nan	R01518	nan	NIST
concentration of enzyme	vALD	nan	1020000	358000	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01070	nan	yeastGFP
inhibitory constant	vALD	TRIO	0.13	nan	mM	nan	303.15	Escherichia coli	R01070	C00111	Brenda
inhibitory constant	vALD	TRIO	1.7	nan	mM	nan	303.15	Escherichia coli	R01070	C00111	Brenda
concentration of enzyme	vGLK	nan	21100	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00299	nan	yeastGFP
concentration of enzyme	vGLK	nan	40800	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00299	nan	yeastGFP
concentration of enzyme	vGLK	nan	114000	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00299	nan	yeastGFP
inhibitory constant	vGLK	ADP	0.04	nan	mM	nan	nan	Solanum tuberosum	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	0.108	nan	mM	nan	nan	Solanum tuberosum	R00299	C00008	Brenda
inhibitory constant	vGLK	AMP	0.031	nan	mM	nan	303.15	Entamoeba histolytica	R00299	C00020	Brenda
inhibitory constant	vGLK	ADP	0.036	nan	mM	nan	303.15	Entamoeba histolytica	R00299	C00008	Brenda
inhibitory constant	vGLK	AMP	0.00065	nan	mM	nan	303.15	Entamoeba histolytica	R00299	C00020	Brenda
inhibitory constant	vGLK	ADP	0.193	nan	mM	nan	303.15	Entamoeba histolytica	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	0.13	nan	mM	nan	nan	Trypanosoma cruzi	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	7	nan	mM	nan	nan	Trypanosoma cruzi	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	1.5	nan	mM	8.1	303.15	Trypanosoma cruzi	R00299	C00008	Brenda
inhibitory constant	vGLK	ATP	3.6	nan	mM	8.1	303.15	Bubalus bubalis	R00299	C00002	Brenda
inhibitory constant	vGLK	ADP	3.6	nan	mM	8.1	303.15	Bubalus bubalis	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	1.3	nan	mM	7.5	nan	Trypanosoma cruzi	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	3.5	nan	mM	nan	nan	Rattus norvegicus	R00299	C00008	Brenda
inhibitory constant	vGLK	ATP	4.5	nan	mM	6.9	303.15	Rattus norvegicus	R00299	C00002	Brenda
inhibitory constant	vGLK	ADP	0.5	nan	mM	7.2	303.15	Sus scrofa	R00299	C00008	Brenda
inhibitory constant	vGLK	ATP	0.5	nan	mM	7.2	303.15	Sus scrofa	R00299	C00002	Brenda
inhibitory constant	vGLK	PEP	8	nan	mM	7.2	303.15	Sus scrofa	R00299	C00074	Brenda
inhibitory constant	vGLK	ADP	0.122	nan	mM	7.5	295.15	Saccharomyces cerevisiae	R00299	C00008	Brenda
inhibitory constant	vGLK	ATP	1.5	nan	mM	nan	nan	Oryctolagus cuniculus	R00299	C00002	Brenda
inhibitory constant	vGLK	ADP	3	nan	mM	nan	nan	Oryctolagus cuniculus	R00299	C00008	Brenda
inhibitory constant	vGLK	ADP	7.8	nan	mM	nan	nan	Oryctolagus cuniculus	R00299	C00008	Brenda
equilibrium constant	vGLK	nan	123	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	1310	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	139	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	154	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	172	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	186	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	193	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	203	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	205	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	222	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	230	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	245	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	249	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	277	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	286	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	300	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	304	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	340	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	430	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	618	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
equilibrium constant	vGLK	nan	88	nan	dimensionless	nan	nan	nan	R00299	nan	NIST
concentration of enzyme	vENO	nan	76700	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00658	nan	yeastGFP
concentration of enzyme	vENO	nan	2610	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00658	nan	yeastGFP
equilibrium constant	vENO	nan	1.43	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	2.35	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	2.45	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	2.63	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	2.76	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	2.83	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	2.84	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.17	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.19	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.21	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.27	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.4	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.5	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.54	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.8	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	3.92	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	4.29	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	4.41	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	4.52	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	4.55	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	4.6	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	4.68	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
equilibrium constant	vENO	nan	5.15	nan	dimensionless	nan	nan	nan	R00658	nan	NIST
concentration of enzyme	vPYK	nan	291000	24100	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00200	nan	yeastGFP
concentration of enzyme	vPYK	nan	2130	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00200	nan	yeastGFP
inhibitory constant	vPYK	ATP	1.77	nan	mM	7	310.15	Toxoplasma gondii	R00200	C00002	Brenda
inhibitory constant	vPYK	ATP	10	nan	mM	7.5	298.15	nan	R00200	C00002	Brenda
inhibitory constant	vPYK	ATP	4	nan	mM	7.5	298.15	nan	R00200	C00002	Brenda
inhibitory constant	vPYK	ATP	3.9	nan	mM	6.9	298.15	nan	R00200	C00002	Brenda
inhibitory constant	vPYK	ATP	9.6	nan	mM	6.9	298.15	nan	R00200	C00002	Brenda
equilibrium constant	vPYK	nan	0.0011	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00152	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000155	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000179	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00208	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00272	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000386	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.0003	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00413	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000429	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00045	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000451	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00049	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.00495	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000552	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000685	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
equilibrium constant	vPYK	nan	0.000735	nan	dimensionless	nan	nan	nan	R00200	nan	NIST
concentration of enzyme	vPDC	nan	2140	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00224	nan	yeastGFP
concentration of enzyme	vPDC	nan	6560	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00224	nan	yeastGFP
concentration of enzyme	vPDC	nan	1520	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00224	nan	yeastGFP
concentration of enzyme	vPDC	nan	8970	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00224	nan	yeastGFP
concentration of enzyme	vPDC	nan	471000	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R00224	nan	yeastGFP
inhibitory constant	vPDC	PYR	1.45	nan	mM	nan	nan	Saccharomyces cerevisiae	R00224	C00022	Brenda
inhibitory constant	vPDC	PYR	3.75	nan	mM	nan	nan	Saccharomyces cerevisiae	R00224	C00022	Brenda
inhibitory constant	vPDC	PYR	3.04	nan	mM	nan	nan	Saccharomyces cerevisiae	R00224	C00022	Brenda
inhibitory constant	vPDC	PYR	136	nan	mM	nan	nan	Saccharomyces cerevisiae	R00224	C00022	Brenda
inhibitory constant	vPDC	PYR	433	nan	mM	nan	nan	Saccharomyces cerevisiae	R00224	C00022	Brenda
inhibitory constant	vPDC	PYR	112.2	nan	mM	nan	nan	Saccharomyces cerevisiae	R00224	C00022	Brenda
inhibitory constant	vPDC	PYR	1200	nan	mM	nan	303.15	Kluyveromyces lactis	R00224	C00022	Brenda
concentration of enzyme	vPGK	nan	314000	132000	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01512	nan	yeastGFP
substrate catalytic rate constant	vPGK	nan	10	nan	1/s	nan	nan	Homo sapiens	R01512	C00063	Brenda
inhibitory constant	vPGK	AMP	1.5	nan	mM	7.8	298.15	Saccharomyces cerevisiae	R01512	C00020	Brenda
inhibitory constant	vPGK	ADP	0.17	nan	mM	nan	298.15	Saccharomyces cerevisiae	R01512	C00008	Brenda
inhibitory constant	vPGK	AMP	2	nan	mM	7.8	298.15	Saccharomyces cerevisiae	R01512	C00020	Brenda
inhibitory constant	vPGK	ADP	0.22	nan	mM	nan	298.15	Saccharomyces cerevisiae	R01512	C00008	Brenda
inhibitory constant	vPGK	ADP	0.08	nan	mM	6.5	298.15	Mus musculus	R01512	C00008	Brenda
inhibitory constant	vPGK	ADP	0.175	nan	mM	6.5	298.15	Mus musculus	R01512	C00008	Brenda
inhibitory constant	vPGK	ADP	0.039	nan	mM	7.5	293.15	Sus scrofa	R01512	C00008	Brenda
substrate catalytic rate constant	vPGK	P3G	570	nan	1/s	nan	nan	Hippoglossus stenolepis	R01512	C00197	Brenda
substrate catalytic rate constant	vPGK	ATP	570	nan	1/s	nan	nan	Hippoglossus stenolepis	R01512	C00002	Brenda
substrate catalytic rate constant	vPGK	ATP	411	nan	1/s	nan	nan	Pseudomonas sp.	R01512	C00002	Brenda
substrate catalytic rate constant	vPGK	ATP	500	nan	1/s	nan	nan	Pseudomonas sp.	R01512	C00002	Brenda
substrate catalytic rate constant	vPGK	P3G	540	nan	1/s	nan	nan	Pseudomonas sp.	R01512	C00197	Brenda
substrate catalytic rate constant	vPGK	ATP	519	nan	1/s	nan	nan	Pseudomonas sp.	R01512	C00002	Brenda
substrate catalytic rate constant	vPGK	P3G	362	nan	1/s	nan	nan	Pseudomonas sp.	R01512	C00197	Brenda
substrate catalytic rate constant	vPGK	P3G	537	nan	1/s	nan	nan	Pseudomonas sp.	R01512	C00197	Brenda
substrate catalytic rate constant	vPGK	ATP	500	nan	1/s	nan	nan	Homo sapiens	R01512	C00002	Brenda
substrate catalytic rate constant	vPGK	ATP	100	nan	1/s	nan	nan	Homo sapiens	R01512	C00002	Brenda
equilibrium constant	vPGK	nan	0.00102	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.00143	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.00015	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000225	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
