
!!SBtab SBtabVersion='1.0' TableType='QuantityType' TableName='Jiang Result'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Value	!Mean	!Std	!Unit	!Provenance	!Type	!Reference	!lnMean	!lnStd
concentration		IsoCitcyt	0.0257924401848	0.0687679898331	0.169964936671	mM	Balanced parameter value	Basic		-3.65767384609	1.40046916405
chemical potential		IsoCitcyt	-45.7343467117	-45.7343467117	271.665029307	kJ/mol	Balanced parameter value	Derived		-45.7343467117	271.665029307
standard chemical potential		Cit_cyt	-36.6634562238	-36.6634562238	271.644534053	kJ/mol	Balanced parameter value	Basic		-36.6634562238	271.644534053
concentration		Cit_cyt	0.0258872597321	0.069014998731	0.170558757045	mM	Balanced parameter value	Basic		-3.65400433354	1.40040916053
chemical potential		Cit_cyt	-45.7772738325	-45.7772738325	271.66485228	kJ/mol	Balanced parameter value	Derived		-45.7772738325	271.66485228
standard chemical potential		ATP_cyt	-876.947352591	-876.947352591	387.299098106	kJ/mol	Balanced parameter value	Basic		-876.947352591	387.299098106
concentration		ATP_cyt	0.0246893179669	0.0593487912994	0.129733430343	mM	Balanced parameter value	Basic		-3.70138459986	1.3244327662
chemical potential		ATP_cyt	-886.17934606	-886.17934606	387.31023246	kJ/mol	Balanced parameter value	Derived		-886.17934606	387.31023246
standard chemical potential		ADP_cyt	-876.948853947	-876.948853947	387.298874362	kJ/mol	Balanced parameter value	Basic		-876.948853947	387.298874362
concentration		ADP_cyt	0.0265342270461	0.0541450383778	0.0963103091202	mM	Balanced parameter value	Basic		-3.62931979272	1.19434572517
chemical potential		ADP_cyt	-886.001103374	-886.001103374	387.30739107	kJ/mol	Balanced parameter value	Derived		-886.001103374	387.30739107
standard chemical potential		NAD	-876.76714496	-876.76714496	612.373605297	kJ/mol	Balanced parameter value	Basic		-876.76714496	612.373605297
concentration		NAD	0.0233312154468	0.0636759116643	0.161699414295	mM	Balanced parameter value	Basic		-3.75796309628	1.41704915619
chemical potential		NAD	-886.140256515	-886.140256515	612.379198655	kJ/mol	Balanced parameter value	Derived		-886.140256515	612.379198655
standard chemical potential		NADH_cyt	-877.150832755	-877.150832755	612.373605297	kJ/mol	Balanced parameter value	Basic		-877.150832755	612.373605297
concentration		NADH_cyt	0.0285117771595	0.0778147802859	0.197603835845	mM	Balanced parameter value	Basic		-3.5574380434	1.41704915619
chemical potential		NADH_cyt	-886.023794723	-886.023794723	612.379198655	kJ/mol	Balanced parameter value	Derived		-886.023794723	612.379198655
standard chemical potential		NADP_cyt	-876.830163213	-876.830163213	612.373703554	kJ/mol	Balanced parameter value	Basic		-876.830163213	612.373703554
concentration		NADP_cyt	0.0259471504652	0.0793795408422	0.229504092757	mM	Balanced parameter value	Basic		-3.65169348406	1.49544566476
chemical potential		NADP_cyt	-885.9382171	-885.9382171	612.380450593	kJ/mol	Balanced parameter value	Derived		-885.9382171	612.380450593
standard chemical potential		NADPH_cyt	-877.087811971	-877.087811971	612.373703554	kJ/mol	Balanced parameter value	Basic		-877.087811971	612.373703554
concentration		NADPH_cyt	0.0256372820811	0.0784315673804	0.226763288426	mM	Balanced parameter value	Basic		-3.66370765563	1.49544566476
chemical potential		NADPH_cyt	-886.225831606	-886.225831606	612.380450593	kJ/mol	Balanced parameter value	Derived		-886.225831606	612.380450593
standard chemical potential		Pyr	0.449023630703	0.449023630703	1.63210708341	kJ/mol	Balanced parameter value	Basic		0.449023630703	1.63210708341
concentration		Pyr	0.0258046611837	0.0595337645495	0.123776983936	mM	Balanced parameter value	Basic		-3.65720013734	1.29304948194
chemical potential		Pyr	-8.67276495184	-8.67276495184	3.60701214554	kJ/mol	Balanced parameter value	Derived		-8.67276495184	3.60701214554
standard chemical potential		CO2	37.6122962009	37.6122962009	271.662689566	kJ/mol	Balanced parameter value	Basic		37.6122962009	271.662689566
concentration		CO2	0.025716994151	0.0739388167605	0.19930831359	mM	Balanced parameter value	Basic		-3.6606032546	1.45333129485
chemical potential		CO2	28.4820195633	28.4820195633	271.684726187	kJ/mol	Balanced parameter value	Derived		28.4820195633	271.684726187
standard chemical potential		CoA	-717.458678052	-717.458678052	554.972751725	kJ/mol	Balanced parameter value	Basic		-717.458678052	554.972751725
concentration		CoA	0.0257562127017	0.0702314255707	0.178162439941	mM	Balanced parameter value	Basic		-3.659079411	1.41641801781
chemical potential		CoA	-726.585153919	-726.585153919	554.979811254	kJ/mol	Balanced parameter value	Derived		-726.585153919	554.979811254
standard chemical potential		Acetyl_CoA	-754.406824491	-754.406824491	509.437115672	kJ/mol	Balanced parameter value	Basic		-754.406824491	509.437115672
concentration		Acetyl_CoA	0.0258012317115	0.0784094505024	0.225014699253	mM	Balanced parameter value	Basic		-3.65733304744	1.49098774688
chemical potential		Acetyl_CoA	-763.528944578	-763.528944578	509.446830312	kJ/mol	Balanced parameter value	Derived		-763.528944578	509.446830312
standard chemical potential		Pi	405.537899924	405.537899924	289.0756046	kJ/mol	Balanced parameter value	Basic		405.537899924	289.0756046
concentration		Pi	0.0257226774838	0.0743864972565	0.201844990162	mM	Balanced parameter value	Basic		-3.66038228379	1.45732730826
chemical potential		Pi	396.408174431	396.408174431	289.096187297	kJ/mol	Balanced parameter value	Derived		396.408174431	289.096187297
standard chemical potential		Fum	-367.782675683	-367.782675683	292.789453519	kJ/mol	Balanced parameter value	Basic		-367.782675683	292.789453519
concentration		Fum	0.025803815636	0.074580822572	0.202248095895	mM	Balanced parameter value	Basic		-3.65723290512	1.45695643739
chemical potential		Fum	-376.904545995	-376.904545995	292.809708867	kJ/mol	Balanced parameter value	Derived		-376.904545995	292.809708867
standard chemical potential		SCoA	-1159.01146165	-1159.01146165	557.898212434	kJ/mol	Balanced parameter value	Basic		-1159.01146165	557.898212434
concentration		SCoA	0.0258178477983	0.0803550862122	0.236835508412	mM	Balanced parameter value	Basic		-3.65668925109	1.50691032447
chemical potential		SCoA	-1168.13197598	-1168.13197598	557.90665871	kJ/mol	Balanced parameter value	Derived		-1168.13197598	557.90665871
standard chemical potential		Suc	-367.963569618	-367.963569618	292.789798517	kJ/mol	Balanced parameter value	Basic		-367.963569618	292.789798517
concentration		Suc	0.0257523134793	0.0779715213614	0.222830266747	mM	Balanced parameter value	Basic		-3.65923081205	1.48850205397
chemical potential		Suc	-377.09042311	-377.09042311	292.8110357	kJ/mol	Balanced parameter value	Derived		-377.09042311	292.8110357
standard chemical potential		GTP	-710.958089609	-710.958089609	658.689852436	kJ/mol	Balanced parameter value	Basic		-710.958089609	658.689852436
concentration		GTP	0.0257176401481	0.0883688294454	0.290502395117	mM	Balanced parameter value	Basic		-3.66057813545	1.57120473258
chemical potential		GTP	-720.088303594	-720.088303594	658.696551937	kJ/mol	Balanced parameter value	Derived		-720.088303594	658.696551937
standard chemical potential		GDP	-1042.9593999	-1042.9593999	658.689852462	kJ/mol	Balanced parameter value	Basic		-1042.9593999	658.689852462
concentration		GDP	0.0258660752638	0.0888788699212	0.292179094704	mM	Balanced parameter value	Basic		-3.65482300424	1.57120473258
chemical potential		GDP	-1052.07525944	-1052.07525944	658.696551963	kJ/mol	Balanced parameter value	Derived		-1052.07525944	658.696551963
standard chemical potential		Ala	-619.477866303	-619.477866303	528.602048897	kJ/mol	Balanced parameter value	Basic		-619.477866303	528.602048897
concentration		Ala	0.0258539168264	0.0861483316334	0.27382458413	mM	Balanced parameter value	Basic		-3.65529316818	1.55152085783
chemical potential		Ala	-628.594898523	-628.594898523	528.612209574	kJ/mol	Balanced parameter value	Derived		-628.594898523	528.612209574
standard chemical potential		Asp	-987.368020239	-987.368020239	525.513486742	kJ/mol	Balanced parameter value	Basic		-987.368020239	525.513486742
concentration		Asp	0.0257764290544	0.0782136377312	0.224065733478	mM	Balanced parameter value	Basic		-3.65829480718	1.4899554061
chemical potential		Asp	-996.492539147	-996.492539147	525.5226507	kJ/mol	Balanced parameter value	Derived		-996.492539147	525.5226507
standard chemical potential		Glu	-1024.03110241	-1024.03110241	524.824988775	kJ/mol	Balanced parameter value	Basic		-1024.03110241	524.824988775
concentration		Glu	0.0257450286109	0.0722328283928	0.189354096882	mM	Balanced parameter value	Basic		-3.65951373417	1.43642130632
chemical potential		Glu	-1033.15866157	-1033.15866157	524.833251397	kJ/mol	Balanced parameter value	Derived		-1033.15866157	524.833251397
standard chemical potential		H2O	405.695369987	405.695369987	289.075682312	kJ/mol	Balanced parameter value	Basic		405.695369987	289.075682312
concentration		H2O	0.0256273320409	0.0854007896076	0.271474583575	mM	Balanced parameter value	Basic		-3.66409583919	1.55157720204
chemical potential		H2O	396.556382145	396.556382145	289.099300225	kJ/mol	Balanced parameter value	Derived		396.556382145	289.099300225
standard chemical potential		ETFred	-877.054840102	-877.054840102	612.373517102	kJ/mol	Balanced parameter value	Basic		-877.054840102	612.373517102
concentration		ETFred	0.0257900774673	0.0786923990051	0.226850234742	mM	Balanced parameter value	Basic		-3.65776545532	1.49369122994
chemical potential		ETFred	-886.1780387	-886.1780387	612.380237649	kJ/mol	Balanced parameter value	Derived		-886.1780387	612.380237649
standard chemical potential		ETFox	-876.863134674	-876.863134674	612.373517102	kJ/mol	Balanced parameter value	Basic		-876.863134674	612.373517102
concentration		ETFox	0.0257934244873	0.078702611655	0.226879675222	mM	Balanced parameter value	Basic		-3.65763568437	1.49369122994
chemical potential		ETFox	-885.986009598	-885.986009598	612.380237649	kJ/mol	Balanced parameter value	Derived		-885.986009598	612.380237649
standard chemical potential		FADH2	-877.086646276	-877.086646276	612.373556131	kJ/mol	Balanced parameter value	Basic		-877.086646276	612.373556131
concentration		FADH2	0.0259005930576	0.0793480485099	0.2297726369	mM	Balanced parameter value	Basic		-3.65348941256	1.49638095871
chemical potential		FADH2	-886.199179568	-886.199179568	612.380317313	kJ/mol	Balanced parameter value	Derived		-886.199179568	612.380317313
standard chemical potential		FAD	-876.831328798	-876.831328798	612.373556131	kJ/mol	Balanced parameter value	Basic		-876.831328798	612.373556131
concentration		FAD	0.025683366176	0.0786825606926	0.227845546146	mM	Balanced parameter value	Basic		-3.66191172713	1.49638095871
chemical potential		FAD	-885.964869028	-885.964869028	612.380317313	kJ/mol	Balanced parameter value	Derived		-885.964869028	612.380317313
standard chemical potential		OG	-404.156954242	-404.156954242	289.067648326	kJ/mol	Balanced parameter value	Basic		-404.156954242	289.067648326
concentration		OG	0.0257547208157	0.0600556626458	0.126508603213	mM	Balanced parameter value	Basic		-3.65913733603	1.30127160883
chemical potential		OG	-413.283574586	-413.283574586	289.083623977	kJ/mol	Balanced parameter value	Derived		-413.283574586	289.083623977
standard chemical potential		Mal	-367.729771681	-367.729771681	292.789284048	kJ/mol	Balanced parameter value	Basic		-367.729771681	292.789284048
concentration		Mal	0.0259262819736	0.0582113030597	0.11702068592	mM	Balanced parameter value	Basic		-3.65249807677	1.2718666159
chemical potential		Mal	-376.839832384	-376.839832384	292.804202099	kJ/mol	Balanced parameter value	Derived		-376.839832384	292.804202099
standard chemical potential		OXA	-367.53015353	-367.53015353	292.794373542	kJ/mol	Balanced parameter value	Basic		-367.53015353	292.794373542
concentration		OXA	0.0257824714129	0.0645676142523	0.148247431205	mM	Balanced parameter value	Basic		-3.65806042056	1.35500413231
chemical potential		OXA	-376.654087831	-376.654087831	292.811599042	kJ/mol	Balanced parameter value	Derived		-376.654087831	292.811599042
standard chemical potential		Cit	-404.426896569	-404.426896569	289.06068026	kJ/mol	Balanced parameter value	Basic		-404.426896569	289.06068026
concentration		Cit	0.0256670926593	0.0680468649775	0.167075547142	mM	Balanced parameter value	Basic		-3.66254554882	1.39641464363
chemical potential		Cit	-413.562017677	-413.562017677	289.079403657	kJ/mol	Balanced parameter value	Derived		-413.562017677	289.079403657
standard chemical potential		IsoCit	-404.37448961	-404.37448961	289.06072272	kJ/mol	Balanced parameter value	Basic		-404.37448961	289.06072272
concentration		IsoCit	0.0256273163355	0.0678007301509	0.166069261296	mM	Balanced parameter value	Basic		-3.66409645203	1.39492948719
chemical potential		IsoCit	-413.51347898	-413.51347898	289.07940174	kJ/mol	Balanced parameter value	Derived		-413.51347898	289.07940174
standard chemical potential		ATP	-877.000768177	-877.000768177	387.299301509	kJ/mol	Balanced parameter value	Basic		-877.000768177	387.299301509
concentration		ATP	0.025735613727	0.0713659885506	0.184585240911	mM	Balanced parameter value	Basic		-3.65987949821	1.42824761456
chemical potential		ATP	-886.129239622	-886.129239622	387.312718826	kJ/mol	Balanced parameter value	Derived		-886.129239622	387.312718826
standard chemical potential		ADP	-876.895524162	-876.895524162	387.299077783	kJ/mol	Balanced parameter value	Basic		-876.895524162	387.299077783
concentration		ADP	0.0257911292358	0.0713398725419	0.18398359686	mM	Balanced parameter value	Basic		-3.65772467425	1.42648153761
chemical potential		ADP	-886.018621045	-886.018621045	387.312454835	kJ/mol	Balanced parameter value	Derived		-886.018621045	387.312454835
standard chemical potential		NADP_p	-692.895966006	-692.895966006	629.628795515	kJ/mol	Balanced parameter value	Basic		-692.895966006	629.628795515
concentration		NADP_p	0.0258346241275	0.0864597279423	0.276132116565	mM	Balanced parameter value	Basic		-3.65603966631	1.55432501102
chemical potential		NADP_p	-702.014860142	-702.014860142	629.635987046	kJ/mol	Balanced parameter value	Derived		-702.014860142	629.635987046
standard chemical potential		NADPH	-1061.02200766	-1061.02200766	629.628795515	kJ/mol	Balanced parameter value	Basic		-1061.02200766	629.628795515
concentration		NADPH	0.0257489488678	0.0861730018956	0.275216380742	mM	Balanced parameter value	Basic		-3.65936147337	1.55432501102
chemical potential		NADPH	-1070.14918705	-1070.14918705	629.635987047	kJ/mol	Balanced parameter value	Derived		-1070.14918705	629.635987047
standard chemical potential		NAD_p	-876.877119076	-876.877119076	612.373517174	kJ/mol	Balanced parameter value	Basic		-876.877119076	612.373517174
concentration		NAD_p	0.0259072013215	0.069026589028	0.170467902025	mM	Balanced parameter value	Basic		-3.65323430562	1.39997914645
chemical potential		NAD_p	-885.989016081	-885.989016081	612.378867565	kJ/mol	Balanced parameter value	Derived		-885.989016081	612.378867565
standard chemical potential		NADH	-877.040856172	-877.040856172	612.373517174	kJ/mol	Balanced parameter value	Basic		-877.040856172	612.373517174
concentration		NADH	0.0256768150068	0.0684127526949	0.168951973259	mM	Balanced parameter value	Basic		-3.66216683407	1.39997914645
chemical potential		NADH	-886.175032689	-886.175032689	612.378867565	kJ/mol	Balanced parameter value	Derived		-886.175032689	612.378867565
standard chemical potential		Q	-876.894943063	-876.894943063	612.373468864	kJ/mol	Balanced parameter value	Basic		-876.894943063	612.373468864
concentration		Q	0.0259089744254	0.0718103218497	0.1856263108	mM	Balanced parameter value	Basic		-3.65316586739	1.4278927218
chemical potential		Q	-886.006669369	-886.006669369	612.379218098	kJ/mol	Balanced parameter value	Derived		-886.006669369	612.379218098
standard chemical potential		QH2	-877.023033937	-877.023033937	612.373468864	kJ/mol	Balanced parameter value	Basic		-877.023033937	612.373468864
concentration		QH2	0.0256750577911	0.0711619894026	0.183950401861	mM	Balanced parameter value	Basic		-3.6622352723	1.4278927218
chemical potential		QH2	-886.157381153	-886.157381153	612.379218098	kJ/mol	Balanced parameter value	Derived		-886.157381153	612.379218098
standard chemical potential		Cytc3p	-876.938637656	-876.938637656	612.373254078	kJ/mol	Balanced parameter value	Basic		-876.938637656	612.373254078
concentration		Cytc3p	0.0258553950348	0.0669711188063	0.160020774022	mM	Balanced parameter value	Basic		-3.6552359944	1.37966820597
chemical potential		Cytc3p	-886.055527273	-886.055527273	612.378319212	kJ/mol	Balanced parameter value	Derived		-886.055527273	612.378319212
standard chemical potential		Cytc2p	-876.979338148	-876.979338148	612.373254078	kJ/mol	Balanced parameter value	Basic		-876.979338148	612.373254078
concentration		Cytc2p	0.0257282634739	0.0666418203036	0.159233948265	mM	Balanced parameter value	Basic		-3.66016514529	1.37966820597
chemical potential		Cytc2p	-886.108522053	-886.108522053	612.378319212	kJ/mol	Balanced parameter value	Derived		-886.108522053	612.378319212
catalytic rate constant geometric mean	GLCflow		10.2982394494	10.3229595859	0.715687827735	1/s	Balanced parameter value	Basic		2.33197295338	0.0692466192234
concentration of enzyme	GLCflow		0.0192452683699	0.0281812999545	0.0301453443444	mM	Balanced parameter value	Basic		-3.95049004743	0.873376670452
equilibrium constant	GLCflow		0.992244122037	1.01127747233	0.199024449815	dimensionless	Balanced parameter value	Derived		-0.00778611120939	0.1949382822
substrate catalytic rate constant	GLCflow		9.28973247403	9.38176801148	1.3238807547	1/s	Balanced parameter value	Derived		2.22890975521	0.140417074519
product catalytic rate constant	GLCflow		9.36234568461	9.455100618	1.33422887099	1/s	Balanced parameter value	Derived		2.23669586642	0.140417074519
forward maximal velocity	GLCflow		0.178783394548	0.26187213243	0.280273990922	mM/s	Balanced parameter value	Derived		-1.72158029221	0.873706305
reverse maximal velocity	GLCflow		0.180180855272	0.263919056423	0.282464753076	mM/s	Balanced parameter value	Derived		-1.713794181	0.873706305
reaction affinity	GLCflow		7.92938993308	7.92938993308	3.6294704421	kJ/mol	Balanced parameter value	Derived		7.92938993308	3.6294704421
catalytic rate constant geometric mean	LACflow		9.24097611987	9.26304935965	0.640622635356	1/s	Balanced parameter value	Basic		2.22364752075	0.0690764532142
concentration of enzyme	LACflow		0.0153413314617	0.0224635151076	0.0240267476165	mM	Balanced parameter value	Basic		-4.17720469009	0.87331764371
equilibrium constant	LACflow		1.0068391079	1.02615235815	0.201951569657	dimensionless	Balanced parameter value	Derived		0.00681582728538	0.194937967867
substrate catalytic rate constant	LACflow		11.9201820578	12.0375706917	1.69352661308	1/s	Balanced parameter value	Derived		2.47823293482	0.139997963621
product catalytic rate constant	LACflow		11.8392124067	11.9558036605	1.68202307577	1/s	Balanced parameter value	Derived		2.47141710754	0.139997963621
forward maximal velocity	LACflow		0.182871464033	0.267860045838	0.286682542962	mM/s	Balanced parameter value	Derived		-1.69897175526	0.873706018484
reverse maximal velocity	LACflow		0.181629281777	0.266040565704	0.284735208151	mM/s	Balanced parameter value	Derived		-1.70578758255	0.873706018484
reaction affinity	LACflow		-7.88770973182	-7.88770973182	3.6293171726	kJ/mol	Balanced parameter value	Derived		-7.88770973182	3.6293171726
catalytic rate constant geometric mean	GAPflow		9.70411849228	9.72818545621	0.685564863979	1/s	Balanced parameter value	Basic		2.27255038223	0.0703847565475
concentration of enzyme	GAPflow		0.0169946662241	0.0248943532592	0.026646688741	mM	Balanced parameter value	Basic		-4.07485573568	0.873775094302
equilibrium constant	GAPflow		1.00688244347	1.02619425223	0.201947818694	dimensionless	Balanced parameter value	Derived		0.00685886756959	0.194926606257
substrate catalytic rate constant	GAPflow		10.6866467166	10.7967972669	1.55417093053	1/s	Balanced parameter value	Derived		2.36899499169	0.143209979379
product catalytic rate constant	GAPflow		10.6135992199	10.7229968472	1.54354755176	1/s	Balanced parameter value	Derived		2.36213612412	0.143209979379
forward maximal velocity	GAPflow		0.181615994003	0.266021439831	0.284715414513	mM/s	Balanced parameter value	Derived		-1.70586074399	0.873707469819
reverse maximal velocity	GAPflow		0.180374576179	0.264203077088	0.28276927099	mM/s	Balanced parameter value	Derived		-1.71271961156	0.873707469819
reaction affinity	GAPflow		-6.86072777251	-6.86072777251	3.02746370317	kJ/mol	Balanced parameter value	Derived		-6.86072777251	3.02746370317
catalytic rate constant geometric mean	v1		10.222874819	10.2474351795	0.710757932566	1/s	Balanced parameter value	Basic		2.32462783866	0.0692763916259
concentration of enzyme	v1		0.0189516806753	0.0277516432387	0.0296862459535	mM	Balanced parameter value	Basic		-3.9658626614	0.873387012342
equilibrium constant	v1		0.999482594286	1.01866514545	0.200533009591	dimensionless	Balanced parameter value	Derived		-0.000517539614187	0.194990404406
substrate catalytic rate constant	v1		9.47782253971	9.57184437159	1.35159041548	1/s	Balanced parameter value	Derived		2.24895459998	0.140508442587
product catalytic rate constant	v1		9.48272895786	9.57679946235	1.3522900981	1/s	Balanced parameter value	Derived		2.24947213959	0.140508442587
forward maximal velocity	v1		0.17962066627	0.263099201463	0.281588648187	mM/s	Balanced parameter value	Derived		-1.71690806142	0.873709259844
reverse maximal velocity	v1		0.179713651139	0.263235400963	0.281734419185	mM/s	Balanced parameter value	Derived		-1.7163905218	0.873709259844
